PACE_NUMBER,PACE_NAME,STATUS,PROGRAM,SUB_PROGRAM,FORECAST_YEAR,SOURCE_JOB_NUMBER,RAN_REGION,MARKET,SUBMARKET,LATITUDE,LONGITUDE,PRODUCT_GROUP,PRODUCT_SUBGROUP,NATIONAL_PROGRAM,USID,FA_LOCATION_CODE,CURRENT_NEED_BY_DATE,ONAIR_PLAN,ONAIR_FORECAST,ONAIR_ACTUAL,ROW_NUM
MRCHI033927,CHAMBERLAIN HDQTRS (SPIDERCLOUD) ISE SMALL CELL,Active,IB ALL,IB-Small Cell,2020,CR_-RCHI-18-00053,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.852524,-87.924824,Small Cell,Indoor MultiStandard (UC2),IB-Small Cell,208699,14522454,12-31-2018,null,12-31-2020,null,21
MRCHI034267,135 S. LaSalle (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00291,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.881672,-87.632192,New Site,iDAS,IB-New Site,212862,14533654,12-31-2019,null,12-31-2020,null,36
MRCHI034268,230 W. Monroe (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00303,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.881071,-87.634872,New Site,iDAS,IB-New Site,222740,14533655,12-31-2019,null,12-31-2020,null,37
MRCHI034277,1330 W. Fulton (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00312,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.88702,-87.660275,New Site,iDAS,IB-New Site,220077,14533656,12-31-2019,null,12-31-2020,null,47
MRCHI034288,101 N Wacker (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00296,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.883556,-87.636409,New Site,iDAS,IB-New Site,216991,14533657,12-31-2019,null,12-31-2020,null,22
MRCHI034308,Museum of Science and Industry (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00299,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,iDAS,IB-New Site,null,14533659,12-31-2019,null,12-31-2020,null,31
MRCHI034299,1 K FULTON (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00300,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,iDAS,IB-New Site,null,14533660,12-31-2019,null,12-31-2020,null,28
MRCHI034298,115 South LaSalle (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00301,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.88039,-87.631941,New Site,iDAS,IB-New Site,219725,14533661,12-31-2019,null,12-31-2020,null,27
MRCHI034313,11 South LaSalle Residence Inn (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00302,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.881672,-87.632192,New Site,iDAS,IB-New Site,212862,14533662,12-31-2019,null,12-31-2020,null,32
MRCHI034270,1 E. Wacker (Chicago Pilot),Active,IB ALL,IB-New Site,2020,CR_-RCHI-18-00305,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,null,null,New Site,iDAS,IB-New Site,null,14533664,12-31-2019,null,12-31-2020,null,40
